Lotto
Le Estrazioni Del Lotto del 2019
Data             	Bari           	Cagliari       	Firenze        	Genova         	Milano         	Napoli         	Palermo        	Roma           	Torino         	Venezia        	Nazionale      	
14 Marzo 2019    	49.04.33.24.44 	61.82.56.74.60 	31.72.85.63.56 	56.30.85.70.66 	48.90.19.07.28 	17.62.45.07.03 	85.29.25.01.80 	09.57.29.65.27 	05.78.37.74.53 	90.78.28.29.61 	73.11.82.89.18 	
12 Marzo 2019    	17.66.89.55.05 	21.50.49.61.35 	39.10.83.27.79 	84.75.90.82.53 	22.35.78.77.70 	84.35.88.61.89 	30.26.34.47.80 	35.34.27.66.31 	30.51.41.61.90 	34.02.11.53.03 	14.22.35.41.32 	
9 Marzo 2019     	23.36.11.41.27 	09.59.01.54.65 	67.57.03.82.34 	57.80.18.54.55 	01.54.70.35.87 	08.10.18.24.16 	11.54.02.09.33 	18.30.61.60.29 	75.68.53.81.44 	48.47.43.23.76 	82.27.67.21.23 	
7 Marzo 2019     	88.84.18.13.50 	59.32.73.46.21 	32.78.08.76.54 	28.54.78.56.61 	69.84.89.44.28 	82.37.09.60.53 	35.51.64.42.61 	36.33.11.49.14 	87.69.59.60.50 	89.23.55.47.33 	83.63.33.29.37 	
5 Marzo 2019     	50.72.46.81.63 	56.85.55.21.76 	36.74.10.90.85 	02.50.32.55.65 	79.81.57.26.34 	90.70.58.51.55 	02.69.43.70.58 	11.13.15.62.82 	13.28.31.63.10 	53.08.90.27.19 	73.74.12.61.79 	
2 Marzo 2019     	79.77.71.12.52 	19.16.71.60.08 	36.26.81.59.73 	23.33.05.07.38 	11.90.28.30.46 	81.04.56.40.86 	09.15.04.38.77 	73.05.46.50.37 	54.66.81.04.46 	18.27.42.01.76 	85.01.43.50.10 	
28 Febbraio 2019 	03.34.52.16.10 	76.08.54.19.35 	57.34.43.31.30 	73.80.44.16.88 	66.34.76.24.81 	09.38.90.52.42 	17.52.69.19.68 	09.37.85.06.39 	85.31.22.07.48 	85.47.84.88.13 	64.77.09.90.39 	
26 Febbraio 2019 	47.76.70.51.22 	65.47.07.40.43 	25.74.60.57.13 	20.51.16.42.28 	38.13.82.45.48 	06.41.71.58.84 	70.51.26.85.45 	36.48.43.86.82 	67.21.08.49.75 	33.47.44.60.17 	05.45.34.21.88 	
23 Febbraio 2019 	83.24.81.31.88 	31.72.63.19.40 	90.33.76.87.25 	63.42.14.82.30 	02.14.30.87.32 	51.19.28.32.23 	85.65.50.41.30 	44.78.01.68.69 	29.61.54.31.16 	28.57.78.70.81 	09.23.52.28.22 	
21 Febbraio 2019 	01.15.83.16.60 	03.31.86.24.63 	66.63.23.77.34 	31.11.33.24.28 	54.58.56.01.10 	22.29.04.26.77 	48.80.11.02.28 	44.62.33.17.74 	69.28.19.15.17 	32.67.10.17.75 	66.87.07.01.08 	
19 Febbraio 2019 	42.82.12.19.15 	34.28.88.83.26 	71.01.25.69.78 	06.31.28.19.49 	61.62.69.80.32 	29.65.66.86.57 	43.52.32.55.05 	59.43.10.02.81 	03.54.84.01.29 	73.26.56.41.74 	32.70.74.22.35 	
16 Febbraio 2019 	28.63.65.75.58 	15.66.21.36.26 	63.24.17.16.55 	64.32.87.71.51 	48.42.76.45.50 	75.13.66.47.89 	29.13.06.27.75 	54.36.04.73.07 	82.42.40.24.36 	73.86.78.03.08 	04.43.23.45.80 	
14 Febbraio 2019 	76.26.22.71.49 	31.37.46.39.59 	11.31.26.61.20 	47.41.26.19.64 	27.03.66.14.73 	86.73.18.02.17 	05.67.09.86.66 	82.30.79.15.59 	04.40.41.16.61 	43.63.12.73.21 	19.01.21.84.88 	
12 Febbraio 2019 	83.01.31.84.67 	41.52.77.61.36 	70.46.52.44.61 	36.17.83.78.28 	77.29.50.62.07 	09.63.86.10.49 	04.44.51.57.68 	32.78.22.74.24 	62.86.67.83.56 	49.17.76.32.84 	40.34.78.66.07 	
9 Febbraio 2019  	84.51.52.60.07 	68.04.75.76.34 	10.06.32.76.79 	47.78.20.22.43 	83.58.26.07.14 	79.60.63.50.52 	79.08.81.66.80 	63.59.24.86.45 	50.57.09.12.74 	59.09.83.37.81 	78.69.80.38.54 	
7 Febbraio 2019  	06.69.36.58.54 	87.04.65.57.31 	32.12.90.80.07 	26.74.45.15.84 	28.19.74.31.55 	23.13.44.62.12 	16.01.90.72.07 	16.32.82.45.66 	30.81.63.57.06 	90.40.78.68.46 	37.84.30.03.86 	
5 Febbraio 2019  	63.75.54.64.02 	20.50.70.69.41 	86.60.26.73.90 	40.90.62.15.72 	39.15.66.34.35 	36.29.32.44.79 	88.62.23.83.67 	25.69.37.17.74 	62.23.33.22.28 	54.45.74.04.63 	12.09.27.67.74 	
2 Febbraio 2019  	42.90.03.41.49 	58.88.68.45.79 	83.56.25.57.81 	56.05.70.88.55 	40.13.67.39.19 	05.06.70.03.86 	63.17.30.08.71 	32.52.83.59.28 	50.51.81.10.72 	74.31.88.02.75 	10.28.72.46.80 	
31 Gennaio 2019  	23.56.87.21.17 	44.56.60.57.32 	81.31.22.51.47 	71.12.04.85.83 	87.80.89.24.27 	30.01.05.08.74 	08.46.33.12.20 	67.76.40.46.28 	01.80.51.34.39 	89.79.62.73.71 	69.34.56.28.18 	
29 Gennaio 2019  	31.38.14.83.57 	63.44.25.55.16 	57.49.69.63.37 	74.67.75.59.42 	23.26.07.76.29 	07.48.81.03.79 	88.74.82.17.80 	34.38.71.57.44 	85.26.43.14.36 	49.70.53.66.32 	16.09.68.19.86 	
26 Gennaio 2019  	78.26.34.29.72 	15.77.67.48.65 	25.33.43.52.70 	19.36.53.48.72 	63.45.71.61.08 	61.20.50.57.74 	25.27.30.17.82 	27.48.20.53.14 	50.67.27.30.82 	31.75.05.60.56 	33.72.38.18.61 	
24 Gennaio 2019  	64.54.23.27.50 	04.73.34.20.37 	55.72.50.05.56 	27.34.04.50.72 	70.15.82.77.22 	12.07.30.40.06 	58.36.35.21.49 	77.36.88.08.15 	41.14.60.16.09 	71.84.78.10.87 	69.63.12.39.32 	
22 Gennaio 2019  	72.54.05.78.08 	90.09.46.14.89 	40.78.35.83.85 	63.48.46.13.43 	02.80.77.60.13 	74.14.38.05.13 	24.81.16.75.25 	83.71.16.67.11 	63.77.20.49.42 	23.43.76.65.17 	64.30.52.39.01 	
19 Gennaio 2019  	80.62.87.51.78 	33.53.22.46.36 	62.46.43.32.53 	09.05.46.74.01 	55.33.57.30.45 	11.04.21.43.64 	82.20.25.35.30 	47.51.41.79.03 	63.41.55.06.71 	18.19.40.48.07 	48.26.24.87.07 	
17 Gennaio 2019  	01.85.43.51.44 	83.49.12.28.48 	12.06.49.03.47 	79.41.12.18.61 	24.76.26.74.51 	72.90.71.49.36 	22.27.08.42.59 	76.22.67.59.40 	66.85.88.57.13 	58.19.47.02.34 	56.29.12.76.20 	
15 Gennaio 2019  	77.66.67.10.78 	88.24.43.18.20 	57.04.58.05.64 	18.26.69.88.32 	09.10.83.76.42 	65.70.04.40.77 	09.27.63.83.58 	11.37.13.47.81 	73.10.44.15.47 	56.82.40.21.13 	59.37.40.81.29 	
12 Gennaio 2019  	38.63.56.55.43 	60.16.78.40.42 	04.25.57.39.48 	75.15.13.28.45 	69.86.78.22.19 	70.42.45.74.14 	18.42.29.21.81 	51.47.55.28.08 	87.26.68.45.19 	73.90.72.64.27 	40.41.68.34.38 	
10 Gennaio 2019  	71.25.45.70.78 	26.73.07.11.49 	07.03.04.54.18 	10.50.01.63.27 	55.22.65.63.14 	01.23.82.89.74 	05.73.25.86.89 	38.01.86.36.72 	87.31.64.09.52 	75.39.44.13.38 	47.04.11.10.84 	
8 Gennaio 2019   	21.04.09.63.02 	83.08.32.19.13 	13.44.39.46.35 	88.31.76.40.49 	13.59.56.15.21 	44.54.27.80.56 	89.28.14.87.81 	21.90.28.66.36 	48.07.20.52.86 	45.27.03.50.16 	70.82.12.25.47 	
5 Gennaio 2019   	01.30.18.25.23 	55.83.71.82.02 	24.69.50.67.79 	71.10.78.52.61 	79.26.72.46.37 	22.37.90.56.15 	88.26.56.31.77 	38.56.70.44.21 	53.78.84.13.42 	32.07.56.44.69 	75.72.74.39.29 	
3 Gennaio 2019   	49.50.14.17.56 	73.18.57.21.05 	23.47.34.44.76 	20.47.19.29.23 	19.09.66.07.56 	56.85.26.60.08 	68.37.17.59.26 	60.63.47.82.25 	16.03.66.86.27 	82.41.43.74.20 	60.57.03.46.76 	
2 Gennaio 2019   	48.01.56.51.64 	29.08.74.81.21 	53.73.03.08.25 	28.65.66.74.69 	16.73.54.31.30 	21.01.20.85.14 	22.16.67.49.68 	64.28.40.41.58 	08.51.35.85.86 	68.46.83.62.16 	52.36.86.29.63 	
